source_row,frequency_rank,complexity,word,romanized,pos_ko,classification,hanja_ref,english,note,word_group_size,word_group_index,review_flags
3130,3498.0,C,제의,jeui,명,noun,提議,"A proposal,an offer",,1,1,
3131,3499.0,B,종일,jongil,명,noun,終日,"All day, throughout the whole day",,1,1,
3132,3500.0,B,좋아지다,johajida,동,verb,,To become better,,1,1,
3133,3502.0,C,차림,charim,명,noun,,Appearance of clothes or worn objecs,,1,1,
3134,3503.0,C,창조하다,changjohada,동,verb,創造-,Create,,1,1,
3135,3504.0,B,추위,chuwi,명,noun,,Cold,,1,1,
3136,3505.0,B,토마토,tomato,명,noun,tomato,Tomato,,1,1,
3137,3506.0,B,파랗다,parahda,형,adjective,,To be blue,,1,1,
3138,3507.0,C,펴내다,pyeonaeda,동,verb,,"Publish, bring out in print",,1,1,
3139,3509.0,C,하드웨어,hadeuweeo,명,noun,hardware,Hardwaer,,1,1,
3140,3510.0,C,화장,hwajang,명,noun,化粧,Makeup,,1,1,
3141,3512.0,B,가져가다,gajyeogada,동,verb,,To take or carry,,1,1,
3142,3513.0,B,감자,gamja,명,noun,,Potato,,1,1,
3143,3514.0,C,강렬하다,gangryeolhada,형,adjective,强烈-,Intense or strong or severe,,1,1,
3144,3515.0,B,갖다,gajda,보,auxiliary verb,가지다,To hold,,2,2,surface_duplicate
3145,3516.0,B,괴롭다,goeropda,형,adjective,,Be painful or distressing,,1,1,
3146,3517.0,B,교통사고,gyotongsago,명,noun,交通事故,Traffic accident,,1,1,
3147,3519.0,B,군데,gunde,의,noun,,A place or spot,,1,1,
3148,3520.0,A,내일,naeil,부,adverb,來日,Tomorrow,,2,2,surface_duplicate
3149,3523.0,C,되풀이하다,doepurihada,동,verb,,repeat (do or say again),,1,1,
3150,3524.0,C,딱,ttak,부,adverb,멎는모양,"(onomatopoeia, of solid objects) while colliding together",,2,2,surface_duplicate
3151,3525.0,C,리,ri,의,noun,里,village; a Korean administrative division covering a small settlement and its surrounding hinterland.,,1,1,
3152,3526.0,B,메시지,mesiji,명,noun,message,Message,,1,1,
3153,3527.0,C,면하다,myeonhada,동,verb,免-,"escape,avoid",,1,1,
3154,3528.0,C,모색하다,mosaekhada,동,verb,摸索-,Evening twilight,,1,1,
3155,3530.0,C,붙잡다,butjapda,동,verb,,"seize,catch",,1,1,
3156,3531.0,C,빛깔,bicckkal,명,noun,,"A color,shade,hue",,1,1,
3157,3532.0,B,뺨,ppyam,명,noun,,Cheek,,1,1,
3158,3533.0,C,사방,sabang,명,noun,四方,The four directions,,1,1,
3159,3534.0,C,살림,sallim,명,noun,,"living,livelihood",,1,1,
3160,3537.0,C,실현,silhyeon,명,noun,實現,"realization,materialization",,1,1,
3161,3538.0,C,아냐,anya,감,interjection,,"No, that’s not the case",,1,1,
3162,3539.0,C,연예인,yeonyein,명,noun,演藝人,"A performer, an entertainer",,1,1,
3163,3540.0,B,영원히,yeongwonhi,부,adverb,永遠-,Forever,,1,1,
3164,3541.0,B,월급,wolgeup,명,noun,月給,Monthly salary,,1,1,
3165,3542.0,B,유행,yuhaeng,명,noun,流行,"Fashion, vogue",,1,1,
3166,3544.0,C,이내,inae,부,adverb,,"soon,right away",,2,1,surface_duplicate
3167,3545.0,B,이리,iri,부,adverb,~오너라,"This way, this direction",,1,1,
3168,3547.0,B,제발,jebal,부,adverb,,"kindly,please",,1,1,
3169,3550.0,C,차츰,chacheum,부,adverb,,"gradually,step by step",,1,1,
3170,3553.0,C,투표,tupyo,명,noun,投票,"vote,voting",,1,1,
3171,3554.0,C,파괴하다,pagoehada,동,verb,破壞-,"Destruction, demolition",,1,1,
3172,3555.0,C,하느님,haneunim,명,noun,,God,,1,1,
3173,3557.0,C,해당되다,haedangdoeda,동,verb,該當-,"correspond to, be equivalent to, be tantamount to",,1,1,
3174,3559.0,C,홀로,hollo,부,adverb,,"Alone, by oneself",,1,1,
3175,3560.0,B,가까이,gakkai,명,noun,,Close,,2,2,surface_duplicate
3176,3561.0,B,가득하다,gadeukhada,형,adjective,,To fill,,1,1,
3177,3562.0,B,각자,gakja,부,adverb,各自,Each one or every one,,2,1,surface_duplicate
3178,3563.0,C,감히,gamhi,부,adverb,敢-,Daringly or boldly,,1,1,
3179,3564.0,C,강요하다,gangyohada,동,verb,强要-,"to force, to impose",,1,1,
3180,3565.0,C,개미,gaemi,명,noun,곤충,Ant,,1,1,
3181,3566.0,C,관습,gwanseup,명,noun,慣習,Custom or usage,,1,1,
3182,3567.0,C,광경,gwanggyeong,명,noun,光景,A spectacle or a sight in 3-d and uncut (compare 관광 tourism),,1,1,
3183,3571.0,C,금세,geumse,부,adverb,,In a moment or at once,,1,1,
3184,3572.0,C,낮추다,najchuda,동,verb,,"Lower, make low",,1,1,
3185,3574.0,C,내주다,naejuda,동,verb,,Take out and give away,,1,1,
3186,3578.0,C,명의,myeongui,명,noun,名義,"name,title",,1,1,
3187,3579.0,B,물고기,mulgogi,명,noun,,Fish,,1,1,
3188,3580.0,C,물러나다,mulleonada,동,verb,,"Fall back, to pull back, to pull back your position",,1,1,
3189,3581.0,C,밀접하다,miljeophada,형,adjective,密接-,"Be close,intimate with",,1,1,
3190,3582.0,B,부탁,butak,명,noun,付託,"request,favor",,1,1,
3191,3583.0,C,분량,bunryang,명,noun,分量,"quantity,measure",,1,1,
3192,3584.0,C,불과,bulgwa,부,adverb,不過,"Only, not more than",,1,1,
3193,3585.0,C,뻔하다,ppeonhada,보,auxiliary verb,,"almost,nearly",,2,2,surface_duplicate
3194,3587.0,B,상자,sangja,명,noun,箱子,"A box,case",,1,1,
3195,3588.0,B,새해,saehae,명,noun,,A new year,,1,1,
3196,3589.0,C,소박하다,sobakhada,형,adjective,素朴-,"simple, naive, ingenuous",,1,1,
3197,3590.0,C,수없이,sueopsi,부,adverb,數-,Be unable to do,,1,1,
3198,3591.0,C,승진,seungjin,명,noun,昇進,"promotion,advancement",,1,1,
3199,3592.0,C,양,yang,관,attributive,兩,two; both,,4,3,surface_duplicate
3200,3593.0,B,얼음,eoreum,명,noun,,Ice,,1,1,
3201,3596.0,C,열매,yeolmae,명,noun,,Fruit,,1,1,
3202,3600.0,C,적히다,jeokhida,동,verb,,"To be recorded,written down",,1,1,
3203,3602.0,B,점수,jeomsu,명,noun,點數,"marks,the number of marks",,1,1,
3204,3603.0,C,제한되다,jehandoeda,동,verb,制限-,"To be restricted,limited",,1,1,
3205,3605.0,C,지속되다,jisokdoeda,동,verb,持續-,"Be lasting a long time, be continous",,1,1,
3206,3606.0,C,쫓기다,jjoccgida,동,verb,,"To be chased, be driven",,1,1,
3207,3607.0,C,쭉,jjuk,부,adverb,,All the time,,1,1,
3208,3611.0,B,통장,tongjang,명,noun,通帳,A bankbook (check register),,1,1,
3209,3613.0,C,평가되다,pyeonggadoeda,동,verb,評價-,To be appraised,,1,1,
3210,3614.0,C,하도,hado,부,adverb,,"Too much, excessively",,1,1,
3211,3615.0,C,한창,hanchang,부,adverb,,"The height, summit , the top",,1,1,
3212,3616.0,C,해안,haean,명,noun,海岸,"The seashore, the coast",,1,1,
3213,3617.0,C,호박,hobak,명,noun,,Pumpkin,,1,1,
3214,3619.0,C,흑인,heugin,명,noun,黑人,A black person,,1,1,
3215,3620.0,C,간,gan,명,noun,肝,liver,,3,2,surface_duplicate
3216,3621.0,C,갇히다,gathida,동,verb,,Be confined or shut up,,1,1,
3217,3623.0,B,결심하다,gyeolsimhada,동,verb,決心-,To resolve or be determined,,1,1,
3218,3624.0,B,경기장,gyeonggijang,명,noun,競技場,Sports stadium or a sports field,,1,1,
3219,3625.0,B,고장,gojang,명,noun,故障,breakdown (mechanical),,2,2,surface_duplicate
3220,3628.0,C,근로,geunro,명,noun,勤勞,Labor or exertion,,1,1,
3221,3629.0,C,눈동자,nundongja,명,noun,-瞳子,The pupil,,1,1,
3222,3630.0,A,늦다,neujda,동,verb,,To be late (time),,2,2,surface_duplicate
3223,3631.0,C,닥치다,dakchida,동,verb,다다르다,Shut the mouth!,,1,1,
3224,3633.0,B,도시락,dosirak,명,noun,,Lunchbox lunch,,1,1,
3225,3634.0,C,뜯다,tteutda,동,verb,,"to tear, pick, pluck",,1,1,
3226,3636.0,C,몸짓,momjis,명,noun,,A gesture,,1,1,
3227,3638.0,C,부담하다,budamhada,동,verb,負擔-,"bear,shoulder a responsibility",,1,1,
3228,3640.0,C,부회장,buhoejang,명,noun,副會長,A vice president,,1,1,
3229,3642.0,C,빼앗다,ppaeasda,동,verb,,"Snach, take away from",,1,1,
3230,3643.0,C,삼키다,samkida,동,verb,,Swallow,,1,1,
3231,3645.0,C,성실하다,seongsilhada,형,adjective,誠實-,Be ripe,,1,1,
3232,3646.0,C,스튜디오,seutyudio,명,noun,studio,Studio,,1,1,
3233,3647.0,C,실제,silje,부,adverb,實際,"The truth, a fact",,2,2,surface_duplicate
